Code,Klassifikator,Klassifikator_ru,Klassifikator_en,2017,2018,2019,2020,2021,2022,2023
1710233,Mirishkor tumani,Миришкорский район,Mirishkor district,739958.3,1355786.6,1501106.4,1584212.2,1921894.7,2243965.1,2401377.4
1710234,Muborak tumani,Мубарекский район,Mubarek district,1824059.9,2252503.4,2510567.6,2231048.6,2405523.9,2792548.0,3424388.2
1710235,Nishon tumani,Нишанский  район,Nishon district,968078.3,1371455.2,1756189.6,1806152.3,2142268.6,3516523.0,3716635.0
1710237,Kasbi tumani,Касбинский район,Kasbi district,929315.2,1370741.9,1651845.5,1688288.7,1934601.4,2285693.9,2826005.4
1710242,Chiroqchi tumani,Чиракчинский район,Chirakchi district,817552.5,1208826.7,1291995.1,1483509.4,1986194.2,2319905.8,2503710.5
1710245,Shahrisabz tumani,Шахрисабзский район,Shakhrisabz district,1059120.9,1194374.4,1464766.2,1711378.7,1911806.1,2273849.3,2366130.6
1710250,Yakkabog‘ tumani,Яккабагский район,Yakkabag district,755119.4,1092438.1,1291616.9,1554097.0,1736237.3,2155188.6,2352685.2
1712,Navoiy viloyati,Навоийская область,Navoi region,1700169.8,1999826.1,2448655.0,2867899.1,3733342.4,4283738.2,5003204.7
1712401,Navoiy shahri,Город Навои,Navoi city,1858362.5,2261668.1,2773511.5,3310312.8,4667251.4,4851353.6,5730690.1
1712408,Zarafshon shahri,Город Заpафшан,Zarafshan city,2596299.8,2956697.9,3839510.8,4666396.8,5786970.1,6894047.4,7847877.8
1712412,G‘ozg‘on shahri,Город Газган,Gazgan city,0.0,0.0,0.0,738779.6,1733074.8,1932049.5,2024827.3
1712211,Konimex tumani,Канимехский  район,Kanimekh district,868699.8,1106314.2,2119706.6,1517144.3,3606849.9,4547212.7,5491481.2
1712216,Qiziltepa tumani,Кызылтепинский район,Kyzyltepa district,981576.1,1215864.2,1340397.5,1514061.8,1750430.8,2050013.7,2369330.4
1712230,Navbahor tumani,Навбахорский район,Navbahor district,1078319.6,1225948.9,1328019.6,1436741.9,1662476.2,2315741.9,2634782.9
1712234,Karmana tumani,Карманинский район,Karmana district,1166867.7,1375285.0,1677827.8,2080093.7,2486214.4,3089468.1,3583225.1
1712238,Nurota tumani,Нуратинский район,Nurota district,988070.6,1127257.5,1324220.9,1450679.3,1700110.1,2027618.5,2222049.0
1712244,Tomdi tumani,Тамдынский район,Tomdy district,917886.5,1188898.9,1467086.4,1577821.6,1886521.2,2401211.7,2786564.8
1712248,Uchquduq tumani,Учкудукский район,Uchkuduk district,2749931.5,3117757.8,3889979.4,4840235.4,6120035.2,7548612.6,8243445.1
1712251,Xatirchi tumani,Хатырчинский район,Khatyrchi district,1027300.0,1135606.1,1383719.1,1508417.7,1699448.3,1989866.2,2434469.4
1714,Namangan viloyati,Наманганская область,Namangan region,1012332.8,1242822.5,1560524.0,1704100.0,1987599.8,2540008.6,2786310.6
1714401,Namangan shahri,Город Наманган,Namangan city,1152181.1,1448659.8,1810491.3,2046139.9,2414146.3,2917843.9,3372014.3
1714204,Mingbuloq tumani,Мингбулакский район,Mingbulak district,1095804.5,1325046.0,1534221.3,1742956.9,1997401.7,4207277.2,2483209.3
1714207,Kosonsoy tumani,Касансайский район,Kasansay district,973411.2,1192777.8,1416592.6,1488483.2,1726879.8,2040430.8,2278206.6
1714212,Namangan tumani,Наманганский район,Namangan district,1026971.1,1174480.2,1409851.5,1487245.5,1718703.2,2141111.3,2429013.2
1714216,Norin tumani,Нарынский район,Naryn district,960627.4,1162294.6,1478427.3,1478394.4,1591930.5,1955299.2,2328283.9
1714219,Pop tumani,Папский район,Pop district,886928.2,1120035.6,1456476.9,1715620.6,1949534.6,2218248.4,2315430.6
1714224,To‘raqo‘rg‘on tumani,Туракурганский район,Turakurgan district,1050580.5,1271912.2,1685770.7,1835853.5,2054991.8,2704746.1,3066953.7
1714229,Uychi tumani,Уйчинский район,Uychi district,927704.7,1056368.7,1416544.6,1436716.6,1802409.1,2197946.7,2521365.4
1714234,Uchqo‘rg‘on tumani,Учкурганский район,Uchkurgan district,954596.0,1193361.5,1572583.4,1537775.3,1660735.9,2187661.6,2550419.3
1714236,Chortoq tumani,Чартакский район,Chartak district,916181.0,1045258.4,1347401.9,1482546.4,1710848.4,2332436.6,2367509.6
1714237,Chust tumani,Чустский район,Chust district,843028.7,980607.1,1179671.3,1303306.8,1541213.8,2036281.9,2284143.6
1714242,Yangiqo‘rg‘on tumani,Янгикурганский район,Yangikurgan district,879376.4,1189422.0,1402912.0,1567676.5,1919129.1,2275090.6,2565302.1
1718,Samarqand viloyati,Самаркандская область,Samarkand region,994118.7,1227256.8,1557301.6,1733821.7,2015109.2,2450813.1,2853458.5
1718401,Samarqand shahri,Город Самарканд,Samarkand city,1234918.1,1467644.0,1829926.8,2135780.8,2562051.0,3108173.0,3652090.3
1718406,Kattaqo'rg'on shahar,Город  Каттакурган,Kattaqo'rg'on city,1096341.3,1295959.6,1549951.4,1577389.0,1806274.9,2254529.0,2505612.7
1718203,Oqdaryo tumani,Акдарьинский район,Akdarya district,917564.9,1168524.7,1356885.4,1516021.7,1702835.1,2116688.7,2317573.3
1718206,Bulung‘ur tumani,Булунгурский район,Bulungur district,853458.9,1066525.2,1305948.3,1491376.0,1685335.7,1996844.9,2257722.8
1718209,Jomboy tumani,Джамбайский район,Jomboy district,969550.3,1369903.5,1830337.3,1862293.0,1878036.3,2234345.4,2412741.6
1718212,Ishtixon tumani,Иштыханский район,Ishtykhan district,933175.8,1125613.7,1396940.1,1538836.2,1658269.3,2132928.2,2464977.6
1718215,Kattaqo‘rg‘on tumani,Каттакурганский район,Kattakurgan district,900677.4,1064072.7,1449906.7,1596342.1,1698750.4,2080464.7,2398762.3
1718216,Qo‘shrabot tumani,Кошрабадский район,Koshrabad district,915615.7,1119830.2,1433695.8,1653680.8,1721114.4,2049056.9,2406719.2
1718218,Narpay tumani,Нарпайский район,Narpai district,1062463.1,1356491.9,1507927.3,1739867.3,2181918.1,2402897.1,2738858.7
1718224,Payariq tumani,Пайарыкский район,Payaryk district,845505.5,1157715.4,1413645.6,1493650.8,1673495.8,2046676.3,2385739.5
1718227,Pastdarg‘om tumani,Пастдаргомский район,Pastdargom district,1004331.1,1315135.2,1543084.2,1616379.4,1843905.3,2082641.3,2442114.5
1718230,Paxtachi tumani,Пахтачийский район,Pakhtachi district,961799.2,1114738.6,1443732.9,1505259.1,1752247.3,2070312.0,2441319.1
1718233,Samarqand tumani,Самаркандский район,Samarkand district,826141.3,976311.7,1346756.4,1388470.5,1742441.7,2226205.2,2643532.3
1718235,Nurobod tumani,Нурабадский район,Nurabad district,932890.0,1133189.8,1426966.0,1641275.4,1891539.8,2311109.2,2614116.2
1718236,Urgut tumani,Ургутский район,Urgut district,754797.5,917548.7,1248635.9,1437652.6,1712904.1,2062929.8,2369783.4
1718238,Tayloq tumani,Тайлякский район,Tailak district,721161.6,920469.7,1388309.9,1501450.2,1780630.9,2310038.9,2709021.2
1722,Surxondaryo viloyati,Сурхандарьинская область,Surkhandarya region,1062994.9,1301261.8,1609691.4,1825793.0,2082977.2,2530158.6,2958415.0
1722401,Termiz shahri,Город Термез,Termiz  city,1288959.6,1621110.1,2025825.8,2290814.6,2800376.7,3408289.5,4115268.3
1722201,Oltinsoy tumani,Алтынсайский район,Altynsay district,873466.0,978607.8,1409342.8,1568277.5,1747507.0,2110436.5,2329232.9
1722202,Angor tumani,Ангорский район,Angor district,924011.0,1118854.5,1545507.9,1659673.4,1924691.9,2215263.6,2396434.3
1722203,Bandixon tumani,Бандихонский район,Bandykhan district,0.0,0.0,0.0,1713082.5,1841537.7,2216155.2,2476440.3
1722204,Boysun tumani,Байсунский район,Baysun district,960792.0,1212343.0,1489291.2,1668392.7,1826526.2,2231870.6,2637801.9
1722207,Muzrabot tumani,Музрабадский район,Muzrabad district,923344.9,1148743.9,1487368.7,1620940.9,1836903.3,2268316.8,2466217.5
1722210,Denov tumani,Денауский район,Denau district,889995.0,1126267.0,1406242.2,1679275.1,1955950.8,2326936.4,2766218.3
1722212,Jarqo‘rg‘on tumani,Джаркурганский район,Jarkurgan district,1427030.0,1583460.6,1799461.2,2069707.0,2229931.0,2457060.7,2940407.0
1722214,Qumqo‘rg‘on tumani,Кумкурганский район,Kumkurgan district,1038581.3,1281519.7,1491308.9,1656565.9,1812868.9,2183181.3,2552957.9
1722215,Qiziriq tumani,Кизирикский район,Kizirik district,1067725.5,1334127.8,1489574.1,1594444.5,1430785.7,2210987.7,2335743.2
1722217,Sariosiyo tumani,Сариасийский  район,Sariosia district,1055047.5,1364484.0,1626817.6,1986755.0,2083638.7,2458674.8,2948118.3
1722220,Termiz tumani,Термезский район,Termiz district,957214.4,1175199.9,1408127.3,1568716.5,1896732.2,2490459.7,2799842.4
1722221,Uzun tumani,Узунский район,Uzun district,938132.5,1147240.3,1423129.6,1660537.3,1853904.2,2201162.9,2369740.7
1722223,Sherobod tumani,Шерабадский район,Sherabad district,968559.9,1100869.4,1346621.7,1524202.2,1801683.0,2120831.9,2650034.9
1722226,Sho‘rchi tumani,Шурчинский район,Shurchi district,1001693.6,1140083.8,1441970.4,1538166.8,1815027.6,2143567.8,2432540.7
1724,Sirdaryo viloyati,Сырдарьинская область,Syrdarya region,1161054.4,1372579.6,1724236.7,1949748.6,2265301.7,2656512.4,3058493.4
1724401,Guliston shahri,Город Гулистан,Gulistan city,1220202.5,1456047.3,1907649.1,2154592.1,2615350.0,3153187.9,3568376.9
1724410,Shirin shahri,Город Ширин,Shirin city,1539421.0,1809067.6,2228027.9,2384283.6,3373133.2,4866778.8,5979591.8
1724413,Yangiyer shahri,Город Янгиер,Yangier city,1133645.4,1350337.6,1695040.2,1935896.2,2259658.6,2803546.2,3177888.3
1724206,Oqoltin tumani,Акалтынский район,Akaltyn  district,1275582.4,1529172.3,2010210.9,1957134.2,2210832.8,2204722.8,2436998.1
1724212,Boyovut tumani,Баяутский район,Bayaut district,1174940.1,1196092.7,1711531.5,1907906.7,2160045.6,2362512.5,3025951.9
1724216,Sayxunobod tumani,Сайхунабадский район,Saykhunabad district,1141767.6,1440562.0,1679873.3,1975574.1,2104644.6,2425708.6,2780597.6
1724220,Guliston tumani,Гулистанский район,Gulistan district,981578.0,1226554.1,1497269.9,1604980.0,1835988.1,2077151.1,2303774.1
1724226,Sardoba tumani,Сардобский район,Sardoba district,1031308.8,1327864.5,1539141.0,1772982.2,1905670.8,2104274.6,2387273.7
1724228,Mirzaobod tumani,Мирзаабадский район,Mirzaabad district,962004.2,1066859.9,1324179.2,1910761.0,1732909.9,2159727.0,2417890.0
1724231,Sirdaryo tumani,Сырдарьинский район,Syrdarya district,1146474.6,1401268.3,1599527.6,1731313.0,2147598.0,2358950.0,2721699.8
1724235,Xovos tumani,Хавасский район,Khovos district,1113284.0,1292802.0,1700323.2,1882122.0,2184957.2,2506906.3,2718762.1
1727,Toshkent viloyati,Ташкентская область,Tashkent region,1357442.7,1706179.5,2066556.0,2280326.7,2789225.2,3207582.4,3673115.7
1727401,Nurafshon shahri,Город Нурафшон,Nurafshan city,1251322.5,1817190.9,2317738.0,2897699.8,3533264.8,4276484.4,5251000.7
1727404,Olmaliq shahri,Город Алмалык,Almalyk city,2307696.9,3313476.7,3970477.5,4094237.5,5092179.6,5849584.9,6446309.6
1727407,Angren shahri,Город Ангрен,Angren city,1347877.3,1549974.3,1812233.9,2029154.0,2402556.8,2878046.1,3401221.1
1727413,Bekobod shahri,Город Бекабад,Bekabad city,1960229.4,2378671.3,2742637.4,3093154.5,3987543.0,4311229.6,4398165.4
1727419,Chirchiq shahri,Город Чиpчик,Chirchik city,1452252.7,1796254.4,2131042.1,2423562.7,2810058.1,3308552.2,4024215.1
1727415,Ohangaron shahri,Город Ахангаран,Akhangaran city,1385846.7,1626853.3,2058998.0,2374291.3,2632784.0,3297407.9,3854657.8
1727424,Yangiyo‘lshahri,Город Янгиюль,Yangiyul city,1143097.3,1307447.5,1556878.1,1659913.4,1956081.9,2320371.7,2572330.5
1727206,Oqqo‘rg‘on tumani,Аккурганский район,Akkurgan district,1018795.8,1149608.7,1588849.4,1710151.1,2015248.2,2333655.3,2686911.5
1727212,Ohangaron tumani,Ахангаранский район,Akhangaran district,1197617.5,1326566.2,1779455.4,1902797.1,2513691.7,3026719.4,3554206.2
1727220,Bekobod tumani,Бекабадский район,Bekabad district,745905.9,1007398.5,1360451.4,1379344.9,1638177.7,1993522.7,2379103.3
1727224,Bo‘stonliq tumani,Бостанлыкский район,Bostanlyk district,1118492.4,1344859.6,1734719.4,1922408.1,2209589.8,2718564.2,3198680.9
1727228,Bo‘ka tumani,Букинский район,Buka district,919694.9,1179689.4,1400773.4,1427201.1,1809053.9,2135864.9,2324594.0
1727233,Quyichirchiq tumani,Куйичирчикский район,Kuyichirchik district,991441.9,1302307.8,1305290.9,1770432.7,2051582.1,2750249.6,2494017.7
1727237,Zangiota tumani,Зангиатинский район,Zangiata district,1188311.5,1384216.3,1783205.1,2178798.7,3177062.1,2412094.7,2622320.5
1727239,Yuqorichirchiq tumani,Юкоричирчикский район,Yukorichirchik district,1142724.4,1275523.2,1668791.4,1819731.3,2255099.2,2700484.4,2792628.4
1727248,Qibray tumani,Кибрайский район,Kibray district,1470144.3,1806796.4,2033508.8,2318410.0,2765744.6,3468805.0,4293165.1
1727249,Parkent tumani,Паркентский район,Parkent district,899522.7,923738.6,1108058.3,1273010.6,1500783.7,1970622.6,2181102.7
1727250,Piskent tumani,Пскентский район,Piskent district,1041307.1,1079782.2,1514501.3,1492907.3,1721496.9,2121055.2,2461846.6
1727253,O‘rtachirchiq tumani,Уртачирчикский район,Urtachirchik district,1176937.5,1474716.6,1676223.2,1932506.0,2271092.3,2615387.0,3012688.7
1727256,Chinoz tumani,Чиназский район,Chinaz district,1166702.4,1334972.3,1680358.6,1676645.5,1925826.5,2261968.8,2668435.0
1727259,Yangiyo‘l tumani,Янгиюльский район,Yangiyul district,1029834.5,1228227.9,1665868.3,1833161.1,2058992.4,2512399.7,2960465.1
1727265,Toshkent tumani,Ташкентский район,Tashkent district,1054647.2,1295300.6,1585843.5,1677208.7,1986855.4,2334775.5,2653600.6
1730,Farg‘ona  viloyati,Ферганская область,Fergana region,1044192.2,1262705.3,1605046.7,1781821.0,2054570.7,2538459.1,2853148.9
1730401,Farg‘ona shahri,Город Фергана,Fergana city,1390138.7,1726103.6,2121693.0,2515065.7,2827947.6,3564641.9,4082350.7
1730405,Qo‘qon shahri,Город Коканд,Kokand city,1157896.9,1431322.6,1748635.0,1991611.1,2376709.9,2760170.9,3296694.8
1730408,Quvasoy shahri,Город Кувасай,Kuvasay city,1222200.8,1386507.1,1668098.3,1759179.4,2052690.5,2425498.1,2829691.4
1730412,Marg‘ilon shahri,Город Маpгилан,Margilan city,887589.7,1097589.9,1424580.3,1487076.4,1743456.3,1925380.3,2234179.7
1730203,Oltiariq tumani,Алтыарыкский район,Altyaryk district,824725.6,978153.1,1379820.3,1436826.8,1583329.4,1786065.0,2021535.8
1730206,Qo‘shtepa tumani,Куштепинский район,Kushtepa district,913098.0,1076751.0,1429985.3,1514901.5,1716715.0,2220283.9,2609786.4
1730209,Bog‘dod tumani,Багдадский район,Baghdad district,932225.5,1158724.8,1513773.6,1678713.3,1867256.5,2204218.1,2420455.6
1730212,Buvayda tumani,Бувайдинский район,Buvayda district,771274.0,944484.6,1325636.0,1384360.2,1727448.7,2065234.8,2477178.2
1730215,Beshariq tumani,Бешарыкский район,Besharik district,791418.0,888405.6,1208776.7,1255340.6,1563967.0,1882682.0,2207675.7
1730218,Quva tumani,Кувинский район,Kuva district,982124.9,1089562.5,1346474.2,1583178.1,1788777.2,2046020.6,2305935.9
1730221,Uchko‘prik tumani,Учкуприкский район,Uchkuprik district,933321.4,1031620.6,1349877.7,1475951.2,1648669.6,3588889.8,2252092.1
1730224,Rishton tumani,Риштанский район,Rishtan district,763381.7,1026338.4,1169030.5,1427246.0,1499862.5,1876278.1,2166256.3
1730226,So‘x tumani,Сохский район,Sokh district,939847.2,1173242.2,1411069.8,1580003.2,1822475.3,2088304.3,2359322.7
1730227,Toshloq tumani,Ташлакский район,Tashlak district,1026212.4,1301996.5,1667063.5,1564770.3,2103369.3,2622221.9,3086727.9
1730230,O‘zbekiston tumani,Узбекистанский район,Uzbekistan district,858754.7,1017869.8,1370189.2,1528521.7,1732148.0,2065963.8,2349985.4
1730233,Farg‘ona tumani,Ферганский район,Fergana district,896881.7,1079003.8,1376230.5,1419423.0,1861016.8,2135099.5,2409846.4
1730236,Dang‘ara tumani,Дангаринский район,Dangara district,815662.3,954886.5,1349985.5,1410354.0,1696351.9,1949177.5,2210269.2
1730238,Furqat tumani,Фуркатский район,Furkat district,1046539.4,1266930.0,1643380.0,1846480.5,2074275.6,2319520.4,2718884.5
1730242,Yozyovon tumani,Язъяванский район,Yazyavan district,988732.1,1175553.7,1421847.6,1690112.3,1786282.4,2083793.1,2351058.1
1733,Xorazm viloyati,Хорезмская область,Khorezm region,1059388.9,1327518.1,1736413.7,1949592.1,2253991.9,2690661.5,3141988.7
